STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,stk_flow,Stock or flow,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),partner,Geopolitical entity (partner),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2014,,4490298.57,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2015,,4689215.57,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2016,,5106117.71,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2017,,5081604.0,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2018,,5126457.1,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2019,,5452464.01,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2020,,5627200.17,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2021,,5999875.27,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2022,,6476604.3,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,NL,Netherlands,2023,,6938218.2,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2014,,495805.7,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2015,,577748.29,,,,,
