STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),asset10,Assets (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2005,,125433.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2006,,128780.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2007,,132987.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2008,,138410.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2009,,139911.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2010,,140545.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2011,,143662.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2012,,147292.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2013,,149783.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2014,,152149.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2015,,153216.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2016,,154092.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2017,,155897.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2018,,160097.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2019,,163345.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2020,,164980.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2021,,173291.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2022,,194644.0,,p,provisional,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2023,,205988.0,,p,provisional,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2000,,33261.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2001,,35499.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2002,,37842.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2003,,40791.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2004,,44385.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2005,,47275.0,,,,,
