country,sector,year,gva,hours,capital
ES,C,2011,119709.0,3737561,260694.0
ES,C,2012,112007.0,3429999,256929.0
ES,C,2013,111450.0,3254317,252032.0
ES,C,2014,114259.0,3218035,248938.0
ES,C,2015,119732.0,3308834,252251.0
ES,C,2016,122996.0,3363363,262560.0
ES,C,2017,130043.0,3536794,274815.0
ES,C,2018,130788.0,3593589,291195.0
ES,C,2019,134106.0,3670035,306037.0
ES,C,2020,122556.0,3346808,324181.0
ES,C,2021,139066.0,3452213,358187.0
ES,C,2022,151730.0,3576306,382725.0
ES,C,2023,164020.0,3646205,399370.0
NL,C,2000,57479.0,1400806,119876.0
NL,C,2001,60442.0,1395278,123719.0
NL,C,2002,59889.0,1350359,127704.0
NL,C,2003,58978.0,1300219,128329.0
NL,C,2004,61334.0,1262355,129029.0
NL,C,2005,64117.0,1228567,130194.0
NL,C,2006,66057.0,1213923,132546.0
NL,C,2007,70622.0,1212334,135381.0
NL,C,2008,70346.0,1211890,139579.0
NL,C,2009,61992.0,1145363,141633.0
NL,C,2010,62837.0,1128479,141786.0
NL,C,2011,66266.0,1126018,141762.0
NL,C,2012,66223.0,1110472,143238.0
NL,C,2013,64215.0,1107569,143282.0
NL,C,2014,65571.0,1105263,143707.0
NL,C,2015,70958.0,1106433,145824.0
NL,C,2016,73940.0,1127376,148108.0
NL,C,2017,79216.0,1139986,150426.0
NL,C,2018,83919.0,1165029,155560.0
NL,C,2019,86468.0,1200922,162151.0
NL,C,2020,85598.0,1155617,166065.0
NL,C,2021,95886.0,1198699,170652.0
NL,C,2022,102836.0,1218380,183447.0
NL,C,2023,109965.0,1239274,193001.0
PT,C,2000,19325.5,1923993,20713.5
PT,C,2001,19928.9,1907477,22560.3
PT,C,2002,20235.1,1844723,24246.5
PT,C,2003,19684.6,1769112,25598.5
PT,C,2004,19872.5,1698686,27238.2
PT,C,2005,19925.0,1628235,29021.8
PT,C,2006,20521.9,1599997,31125.6
PT,C,2007,21485.5,1568133,33456.2
