country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
DE,C,2015,621665.0,11100112,755435.0,0.13595088579556536,0.021106599613240018,824033.17764,132.55260914479663
DE,C,2016,652239.0,11083494,774897.0,0.1415868329890843,0.04145575926584222,825838.85944,126.61598883844727
DE,C,2017,669711.0,11101223,804536.0,0.14343626545303853,0.013062178346038733,869313.45024,129.80426635369585
DE,C,2018,680125.0,11229531,841579.0,0.14241808470623019,-0.007098488960183502,930533.96361,136.81807956037494
DE,C,2019,683030.0,11186824,874926.0,0.14156493146888433,-0.005990483856777584,931164.3469700001,136.32846975535483
DE,C,2020,639332.0,10472567,889609.0,0.13773842357139893,-0.027030055097553962,843918.9648600001,132.000113377713
DE,C,2021,683907.0,10645407,922019.0,0.1440237685412795,0.04563247354593436,945355.96172,138.22873018115035
DE,C,2022,730927.0,10561956,991296.0,0.15108389789004975,0.049020584729017935,1065631.51058,145.79178366375848
DE,C,2023,799148.0,10508156,1038456.0,0.16322864715566363,0.08038414043601216,1094181.79172,136.91854221245626
DE,F,2013,107809.0,3896309,48969.0,0.11728520671150659,0.028308286524534765,2240.46317,2.078178231873035
DE,F,2014,111828.0,3938698,50722.0,0.11938491608309698,0.01790259343409928,2197.99843,1.9655170708588192
DE,F,2015,113982.0,3935060,52209.0,0.12060432686993758,0.010214111018781002,2062.06092,1.8091110175290834
DE,F,2016,120757.0,3949015,54156.0,0.1259393533594943,0.044235780158286886,1494.91642,1.237954255239862
DE,F,2017,127357.0,3965160,56838.0,0.13036389878491383,0.03513234987629055,1249.62147,0.9811957489576546
DE,F,2018,137055.0,4012287,60593.0,0.13627708646319284,0.04535908893024998,1847.59998,1.3480719273284447
DE,F,2019,143419.0,4038185,64311.0,0.13922838701988044,0.021656616187525568,1887.76951,1.3162617993431833
DE,F,2020,154717.0,3979019,67958.0,0.1489528141377869,0.06984514671219966,1365.74609,0.8827382188124124
DE,F,2021,162155.0,4082325,72954.0,0.14990498052300838,0.006392402793683916,1447.19151,0.89247418210971
DE,F,2022,173942.0,4083651,82266.0,0.15451802866130862,0.030773147911467902,1623.2302,0.9332019868691862
DE,F,2023,187208.0,4053085,90463.0,0.16198416120661355,0.04831884415034904,1725.92454,0.9219288385111747
DE,J,2013,120807.0,1796111,144082.0,0.15464919497240665,0.03465678970337538,3305.6233199999997,2.7362845861580865
DE,J,2014,125427.0,1826297,144905.0,0.15848226903123425,0.0247856062846723,3022.7522000000004,2.409969304854617
